Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,200,000",
SURVEY,2016,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,470,000",
SURVEY,2015,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,480,000",
SURVEY,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,770,000",
SURVEY,2013,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,830,000",
SURVEY,2012,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,030,000",
SURVEY,2011,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,750,000",
SURVEY,2010,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,720,000",
SURVEY,2009,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,460,000",
SURVEY,2008,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,460,000",
SURVEY,2007,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,370,000",
SURVEY,2006,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,380,000",
SURVEY,2005,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,770,000",
SURVEY,2004,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,530,000",
SURVEY,2003,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,390,000",
SURVEY,2002,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,220,000",
SURVEY,2001,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,670,000",
SURVEY,2000,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,550,000",
SURVEY,1999,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,670,000",
SURVEY,1998,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,550,000",
SURVEY,1997,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,750,000",
SURVEY,1996,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,450,000",
SURVEY,1995,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,300,000",
SURVEY,1994,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,960,000",
SURVEY,1993,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,400,000",
SURVEY,1992,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,970,000",
SURVEY,1991,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,550,000",
SURVEY,1990,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,450,000",
