Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,167,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"94,004,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,019,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,597,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"95,365,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"97,291,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"91,936,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,192,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"86,382,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"85,982,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"93,527,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,327,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"81,779,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"80,929,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,603,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,894,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"75,702,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,551,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"77,386,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"80,165,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,537,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,229,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"71,479,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,921,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"73,239,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,311,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"75,957,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"74,166,000",
